127.0.0.1_29003 -> 10:08:39.280183 raft.go:189: logger initialized
127.0.0.1_29003 -> 10:08:39.280361 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.314565 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.364734 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.415851 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.467355 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.519181 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.570740 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.621315 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.673012 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.723184 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.774181 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.825518 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.876629 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.928041 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:39.979829 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.030697 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.081585 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.133040 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.184007 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.235001 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.286559 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.337962 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.389415 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.440000 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.490690 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.542042 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.592145 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.643339 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.694247 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.744378 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.796277 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.846504 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.896671 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.947617 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:40.999002 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:41.051193 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:41.101609 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:41.152668 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:41.203553 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:41.253911 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:41.304822 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:41.356811 raft.go:608: Soy follower
127.0.0.1_29003 -> 10:08:41.407624 raft.go:608: Soy follower
